id,name,type,description,hours,photos,social,category,route.path,route.strokeColor,route.strokeOpacity,route.strokeWeight,gmaps.min_zoom,gmaps.max_zoom
gold_shuttle,Gold Shuttle,route,Needs description,"Monday – Friday, 7 A.M. to 5:30 P.M.",,,HURRICANE EXPRESS,"-95.94615,36.1498,0.0 -95.94615,36.15021,0.0 -95.94615,36.15058,0.0 -95.94616,36.15061,0.0 -95.94616,36.15062,0.0 -95.94617,36.15065,0.0 -95.9462,36.15069,0.0 -95.94623,36.15073,0.0 -95.94629,36.15076,0.0 -95.94631,36.15076,0.0 -95.94633,36.15076,0.0 -95.94641,36.15077,0.0 -95.94649,36.15077,0.0 -95.94703,36.15076,0.0 -95.94719,36.15075,0.0 -95.94723,36.15074,0.0 -95.94725,36.15074,0.0 -95.94727,36.15074,0.0 -95.94734,36.15071,0.0 -95.94736,36.15069,0.0 -95.94737,36.15067,0.0 -95.94738,36.15066,0.0 -95.94738,36.15064,0.0 -95.94739,36.15063,0.0 -95.94739,36.15062,0.0 -95.9474,36.15048,0.0 -95.9474,36.14979,0.0 -95.9474,36.14876,0.0 -95.9474,36.14842,0.0 -95.9474,36.1484,0.0 -95.94739,36.14839,0.0 -95.94738,36.14836,0.0 -95.94738,36.14835,0.0 -95.94737,36.14834,0.0 -95.94735,36.14831,0.0 -95.94733,36.14829,0.0 -95.94731,36.14826,0.0 -95.94727,36.14824,0.0 -95.94722,36.14822,0.0 -95.94715,36.14819,0.0 -95.947,36.14815,0.0 -95.94687,36.14815,0.0 -95.94669,36.14815,0.0 -95.94661,36.14816,0.0 -95.94651,36.14818,0.0 -95.94643,36.14819,0.0 -95.94637,36.14821,0.0 -95.94632,36.14824,0.0 -95.94627,36.14826,0.0 -95.94621,36.14831,0.0 -95.94618,36.14836,0.0 -95.94617,36.14842,0.0 -95.94616,36.14845,0.0 -95.94616,36.14847,0.0 -95.94617,36.14876,0.0 -95.94615,36.1498,0.0 -95.94608,36.1498,0.0 -95.94543,36.14979,0.0 -95.94516,36.14979,0.0 -95.94489,36.14978,0.0 -95.94471,36.14978,0.0 -95.94335,36.14977,0.0 -95.94266,36.14977,0.0 -95.94261,36.14977,0.0 -95.94148,36.14979,0.0 -95.94116,36.14979,0.0 -95.94116,36.14961,0.0 -95.94115,36.14885,0.0 -95.94096,36.14886,0.0 -95.94069,36.14886,0.0 -95.94071,36.14957,0.0 -95.94071,36.14958,0.0 -95.94072,36.14959,0.0 -95.94073,36.1496,0.0 -95.94075,36.14961,0.0 -95.94077,36.14961,0.0 -95.94081,36.14962,0.0 -95.94098,36.14961,0.0 -95.94116,36.14961,0.0 -95.94116,36.14979,0.0 -95.94098,36.14979,0.0 -95.94038,36.14978,0.0 -95.94038,36.14876,0.0 -95.94038,36.1487,0.0 -95.9404,36.14836,0.0 -95.9404,36.14782,0.0 -95.94038,36.14764,0.0 -95.94038,36.14729,0.0 -95.94038,36.14624,0.0",#FFD700,0.7,4,17,
blue_shuttle,Blue Shuttle,route,Needs description,"Monday – Friday, 7 A.M. to 5:30 P.M.",,,HURRICANE EXPRESS,"-95.94575,36.15467,0.0 -95.94613,36.15467,0.0 -95.94677,36.15466,0.0 -95.94737,36.15466,0.0 -95.94737,36.1555,0.0 -95.94738,36.15606,0.0 -95.94738,36.15638,0.0 -95.94743,36.15639,0.0 -95.94757,36.15641,0.0 -95.94791,36.15642,0.0 -95.94845,36.15642,0.0 -95.94893,36.15642,0.0 -95.94924,36.15646,0.0 -95.94925,36.15608,0.0 -95.94927,36.15585,0.0 -95.94927,36.15552,0.0 -95.94927,36.15491,0.0 -95.94927,36.15478,0.0 -95.94932,36.15467,0.0 -95.94922,36.15467,0.0 -95.94897,36.15466,0.0 -95.94896,36.15466,0.0 -95.94885,36.15466,0.0 -95.94851,36.15467,0.0 -95.94806,36.15466,0.0 -95.94781,36.15466,0.0 -95.94769,36.15466,0.0 -95.94758,36.15466,0.0 -95.94737,36.15466,0.0 -95.94737,36.15417,0.0 -95.94738,36.15401,0.0 -95.94738,36.15385,0.0 -95.94738,36.1537,0.0 -95.94702,36.1537,0.0 -95.94688,36.15369,0.0 -95.94679,36.15369,0.0 -95.94613,36.1537,0.0 -95.94613,36.15439,0.0 -95.94613,36.15453,0.0 -95.94613,36.15467,0.0 -95.94569,36.15467,0.0 -95.94558,36.15467,0.0 -95.94548,36.15467,0.0 -95.94488,36.15467,0.0 -95.94417,36.15467,0.0 -95.94318,36.15467,0.0 -95.94261,36.15467,0.0 -95.94208,36.15467,0.0 -95.94158,36.15466,0.0 -95.94156,36.15446,0.0 -95.94156,36.15437,0.0 -95.94154,36.15429,0.0 -95.94152,36.15419,0.0 -95.94147,36.15407,0.0 -95.94145,36.15397,0.0 -95.94143,36.15371,0.0 -95.94144,36.15331,0.0 -95.94143,36.15272,0.0 -95.94144,36.15254,0.0 -95.94144,36.1525,0.0 -95.94144,36.15247,0.0 -95.94143,36.15245,0.0 -95.94142,36.15241,0.0 -95.94138,36.15229,0.0 -95.94132,36.1522,0.0 -95.94123,36.15207,0.0 -95.94118,36.152,0.0 -95.94116,36.15196,0.0 -95.94115,36.15192,0.0 -95.94113,36.15188,0.0 -95.94113,36.15185,0.0 -95.94112,36.15181,0.0 -95.94112,36.15178,0.0 -95.94112,36.15175,0.0 -95.94112,36.15171,0.0 -95.94112,36.15167,0.0 -95.94113,36.15164,0.0 -95.94113,36.15161,0.0 -95.94115,36.15156,0.0 -95.94117,36.1515,0.0 -95.94119,36.15146,0.0 -95.94122,36.15142,0.0 -95.94132,36.1513,0.0 -95.94139,36.15118,0.0 -95.94126,36.15117,0.0 -95.94128,36.151,0.0 -95.94128,36.15096,0.0 -95.9413,36.15083,0.0 -95.9413,36.15081,0.0 -95.9413,36.15066,0.0 -95.94131,36.1506,0.0 -95.94131,36.15051,0.0 -95.94131,36.15036,0.0 -95.94147,36.15036,0.0 -95.94145,36.15079,0.0 -95.94145,36.15086,0.0 -95.94144,36.15099,0.0 -95.94143,36.15105,0.0 -95.94143,36.15107,0.0 -95.94142,36.1511,0.0 -95.94139,36.15118,0.0 -95.94132,36.1513,0.0 -95.94129,36.15134,0.0",#0000FF,0.5,4,17,
red_shuttle,Red Shuttle,route,Needs description,"Monday – Friday, 8 A.M. to 10 P.M.",,,HURRICANE EXPRESS,"-95.95595,36.15362,0.0 -95.95595,36.15369,0.0 -95.95595,36.15414,0.0 -95.95595,36.15465,0.0 -95.95595,36.15507,0.0 -95.95594,36.1555,0.0 -95.95594,36.15658,0.0 -95.9537,36.15657,0.0 -95.95149,36.15658,0.0 -95.94991,36.15658,0.0 -95.94983,36.15657,0.0 -95.94969,36.15655,0.0 -95.94924,36.15646,0.0 -95.94925,36.15608,0.0 -95.94927,36.15585,0.0 -95.94927,36.15552,0.0 -95.94927,36.15491,0.0 -95.94927,36.15478,0.0 -95.94932,36.15467,0.0 -95.9493,36.15394,0.0 -95.94928,36.1537,0.0 -95.94918,36.1537,0.0 -95.94901,36.1537,0.0 -95.94898,36.1537,0.0 -95.94848,36.1537,0.0 -95.94796,36.15369,0.0 -95.94738,36.1537,0.0 -95.94702,36.1537,0.0 -95.94688,36.15369,0.0 -95.94679,36.15369,0.0 -95.94613,36.1537,0.0 -95.94613,36.15439,0.0 -95.94613,36.15453,0.0 -95.94613,36.15467,0.0 -95.94569,36.15467,0.0 -95.94558,36.15467,0.0 -95.94548,36.15467,0.0 -95.94488,36.15467,0.0 -95.94417,36.15467,0.0 -95.94318,36.15467,0.0 -95.94261,36.15467,0.0 -95.94208,36.15467,0.0 -95.94158,36.15466,0.0 -95.94156,36.15446,0.0 -95.94156,36.15437,0.0 -95.94154,36.15429,0.0 -95.94152,36.15419,0.0 -95.94147,36.15407,0.0 -95.94145,36.15397,0.0 -95.94143,36.15371,0.0 -95.94144,36.15331,0.0 -95.94143,36.15272,0.0 -95.94144,36.15254,0.0 -95.94144,36.1525,0.0 -95.94144,36.15247,0.0 -95.94143,36.15245,0.0 -95.94142,36.15241,0.0 -95.94138,36.15229,0.0 -95.94132,36.1522,0.0 -95.94123,36.15207,0.0 -95.94118,36.152,0.0 -95.94116,36.15196,0.0 -95.94115,36.15192,0.0 -95.94113,36.15188,0.0 -95.94113,36.15185,0.0 -95.94112,36.15181,0.0 -95.94112,36.15178,0.0 -95.94112,36.15175,0.0 -95.94112,36.15171,0.0 -95.94112,36.15167,0.0 -95.94113,36.15164,0.0 -95.94113,36.15161,0.0 -95.94115,36.15156,0.0 -95.94117,36.1515,0.0 -95.94119,36.15146,0.0 -95.94122,36.15142,0.0 -95.94132,36.1513,0.0 -95.94139,36.15118,0.0 -95.94142,36.1511,0.0 -95.94143,36.15107,0.0 -95.94143,36.15105,0.0 -95.94144,36.15099,0.0 -95.94145,36.15086,0.0 -95.94145,36.15079,0.0 -95.94147,36.15036,0.0 -95.94147,36.15026,0.0 -95.94147,36.15017,0.0 -95.94148,36.14979,0.0 -95.94261,36.14977,0.0 -95.94266,36.14977,0.0 -95.94335,36.14977,0.0 -95.94471,36.14978,0.0 -95.94489,36.14978,0.0 -95.94516,36.14979,0.0 -95.94543,36.14979,0.0 -95.94608,36.1498,0.0 -95.94615,36.1498,0.0 -95.94615,36.15021,0.0 -95.94615,36.15058,0.0 -95.94616,36.15061,0.0 -95.94616,36.15062,0.0 -95.94617,36.15065,0.0 -95.9462,36.15069,0.0 -95.94623,36.15073,0.0 -95.94629,36.15076,0.0 -95.94631,36.15076,0.0 -95.94633,36.15076,0.0 -95.94641,36.15077,0.0 -95.94649,36.15077,0.0 -95.94703,36.15076,0.0 -95.94719,36.15075,0.0 -95.94723,36.15074,0.0 -95.94725,36.15074,0.0 -95.94727,36.15074,0.0 -95.94734,36.15071,0.0 -95.94736,36.15069,0.0 -95.94737,36.15067,0.0 -95.94738,36.15066,0.0 -95.94738,36.15064,0.0 -95.94739,36.15063,0.0 -95.94739,36.15062,0.0 -95.9474,36.15048,0.0 -95.9474,36.14979,0.0 -95.94751,36.14979,0.0 -95.94796,36.14979,0.0 -95.94861,36.14979,0.0 -95.94901,36.14978,0.0 -95.94922,36.14978,0.0 -95.94921,36.15029,0.0 -95.9492,36.15072,0.0 -95.9492,36.15085,0.0 -95.9492,36.15098,0.0 -95.94919,36.15139,0.0 -95.94919,36.15168,0.0 -95.94919,36.15177,0.0 -95.94929,36.15177,0.0 -95.94971,36.15176,0.0 -95.95008,36.15176,0.0 -95.95025,36.15176,0.0 -95.95151,36.15176,0.0 -95.95372,36.15176,0.0 -95.95594,36.15175,0.0 -95.95595,36.15272,0.0 -95.95595,36.15361,0.0",#FF0000,0.5,4,17,
